ORDER,ZIP,TOTAL,R_0_17,R_18_29,R_30_39,R_40_49,R_50_64,R_65_74,R_75_84,R_85_UP
274,95464,2505,606,274,238,335,569,206,207,70
275,92225,22460,4766,4061,3694,3537,3984,1408,848,162
276,91950,62859,13045,13920,9081,7165,11197,4169,2531,1751
277,92316,28704,7574,5570,4536,3741,4424,1570,927,362
278,92083,39509,10766,7924,6097,5308,6159,2105,823,327
279,91405,55506,13176,10152,9177,7795,9607,3262,1542,795
280,92870,53600,12491,8655,7348,7219,10168,4106,2541,1072
281,93223,10716,3237,2199,1455,1218,1702,539,275,91
282,95660,35461,10150,6916,4961,3873,5551,2313,1257,440
283,95926,40000,7330,14087,3718,3994,5528,3083,1390,870
284,90065,46461,9234,7978,7870,6967,7975,3918,1793,726
285,91754,33636,6267,4723,4345,4355,6674,3513,2571,1188
286,93930,17067,5425,2990,2462,2350,2459,921,297,163
287,93060,33773,9404,6302,4119,4275,5577,2650,985,461
288,92612,33234,3579,13031,4919,3248,4635,2103,1058,661
289,90640,62730,14070,11510,8972,7730,11108,4684,2972,1684
290,92285,2430,211,226,337,209,713,485,148,101
291,92173,31000,8350,6256,4578,3599,5167,1787,871,392
292,91340,36156,9530,6674,5064,4748,6158,2197,1279,506
293,91606,44295,9289,7936,7289,6180,8055,2928,1952,666
294,95826,39145,7561,9615,5399,4822,6225,3379,1597,547
295,92026,50321,11341,9344,6622,5852,9319,4181,2344,1318
296,93283,2261,315,242,204,338,527,550,0,85
297,92585,21907,5621,3904,2778,3127,3668,1365,1137,307
298,93204,12961,4017,2625,1976,1954,1701,454,234,0
299,91763,38863,10019,8044,5626,4743,6251,2603,1178,399
300,91303,31586,7279,7160,5885,4261,4666,1483,550,302
301,92704,88321,22720,17553,13124,11326,15152,5219,2362,865
302,95116,55825,14859,10600,8444,7642,8475,2982,1862,961
303,93657,35666,10600,4599,5330,4669,6218,2360,1361,529
304,90303,24374,6333,4531,3379,2927,4344,1737,937,186
305,92084,51619,12912,9777,7133,6129,9070,3753,1966,879
306,92242,1312,231,100,81,79,418,198,139,66
307,90740,24307,3181,2074,2068,2282,5052,4084,3600,1966
308,90602,25581,6132,5569,3577,3207,4194,1682,939,281
309,95833,39905,9727,8772,7117,4443,6300,2472,821,253
310,91748,47079,8949,7779,6161,5620,10312,4997,2185,1076
311,93042,118,0,95,18,5,0,0,0,0
312,94509,68166,17267,11373,9980,8197,13197,4924,2145,1083
313,92223,55580,15474,7805,7579,6565,9552,5128,2511,966
314,90248,11607,2148,1901,1222,1490,2664,911,762,509
315,91977,64750,16195,11598,9183,7866,11801,4944,2348,815
316,94108,14143,1171,2814,2667,1841,2475,1565,1068,542
317,90026,68906,11375,14614,15131,9271,11459,3965,2094,997
318,92399,54268,13295,9226,6349,6964,10326,4681,2356,1071
319,92233,7509,1228,1988,1913,1173,760,312,100,35
320,90304,25946,7460,5434,3621,3633,4127,1142,397,132
321,90038,28580,4494,7146,5917,4340,4233,1455,690,305
322,93242,3474,1194,523,491,393,546,133,113,81
